"row ID","Mathematik","3","M","BRank_Gesamt","BRank_Arbeitsmarkt","BRank_Bevoelkerung","BRank_Erreichbarkeit","BRank_Sicherheit","BRank_Steuerbelastung","BRank_Versorgung","BRank_Wohnen","Landessprache"
"L-115103-KSSEE_Row40",4.0,4.730769230769231,4.6875,4,4,2,5,1,3,5,3,4.5
"L-115105-KSSEE_Row40",4.0,4.730769230769231,4.433333333333334,4,4,2,5,1,3,5,3,5.0
"L-115106-KSSEE_Row39",4.0,4.461538461538462,4.6875,3,1,3,4,1,3,2,4,4.0
"L-115107-KSSEE_Row6",4.5,4.846153846153846,5.28125,1,1,1,4,1,2,4,3,5.0
"L-115108-KSSEE_Row70",4.5,4.461538461538462,4.8125,3,3,3,3,3,3,3,3,3.5
"L-115110-KSSEE_Row40",3.5,4.576923076923077,4.53125,4,4,2,5,1,3,5,3,5.0
"L-115112-KSSEE_Row70",3.5,4.5,4.34375,3,3,3,3,3,3,3,3,4.5
"L-115114-KSSEE_Row6",3.5,4.384615384615385,,1,1,1,4,1,2,4,3,4.0
"L-115118-KSSEE_Row40",5.0,4.961538461538462,4.875,4,4,2,5,1,3,5,3,4.5
"L-115120-KSSEE_Row40",3.5,4.153846153846154,4.84375,4,4,2,5,1,3,5,3,3.5
"L-115122-KSSEE_Row6",4.0,4.576923076923077,4.34375,1,1,1,4,1,2,4,3,5.0
"L-115124-KSSEE_Row67",3.5,4.269230769230769,4.625,3,3,3,3,3,3,3,3,3.5
"L-115126-KSSEE_Row70",5.0,5.269230769230769,5.166666666666667,3,3,3,3,3,3,3,3,5.5
"L-115127-KSSEE_Row38",5.0,4.8076923076923075,5.0,2,1,2,5,1,3,1,3,5.0
"L-115138-KSSEE_Row39",3.75,4.096153846153846,,3,1,3,4,1,3,2,4,3.25
"L-115157-KSSEE_Row39",3.5,4.961538461538462,4.75,3,1,3,4,1,3,2,4,4.5
"L-115159-KSSEE_Row43",4.0,4.961538461538462,4.78125,3,3,2,4,1,2,4,4,4.5
"L-115160-KSSEE_Row6",4.0,4.576923076923077,4.4375,1,1,1,4,1,2,4,3,5.0
"L-115163-KSSEE_Row39",5.5,5.230769230769231,5.125,3,1,3,4,1,3,2,4,5.0
"L-115165-KSSEE_Row6",4.0,4.5,4.59375,1,1,1,4,1,2,4,3,4.0
"L-115168-KSSEE_Row39",5.0,4.923076923076923,4.9375,3,1,3,4,1,3,2,4,4.5
"L-115170-KSSEE_Row6",4.5,4.923076923076923,4.875,1,1,1,4,1,2,4,3,5.0
"L-115175-KSSEE_Row6",5.0,5.153846153846154,4.96875,1,1,1,4,1,2,4,3,5.0
"L-115176-KSSEE_Row39",5.5,5.346153846153846,5.34375,3,1,3,4,1,3,2,4,5.0
"L-115180-KSSEE_Row40",3.0,4.423076923076923,,4,4,2,5,1,3,5,3,5.0
"L-115181-KSSEE_Row43",4.0,5.0,,3,3,2,4,1,2,4,4,5.5
"L-115182-KSSEE_Row39",5.0,4.961538461538462,4.6875,3,1,3,4,1,3,2,4,4.5
"L-115184-KSSEE_Row38",3.5,4.346153846153846,4.34375,2,1,2,5,1,3,1,3,4.0
"L-115186-KSSEE_Row38",4.0,4.423076923076923,4.65625,2,1,2,5,1,3,1,3,4.5
"L-115191-KSSEE_Row22",4.0,4.8076923076923075,4.46875,2,3,1,4,1,1,5,1,4.5
"L-115194-KSSEE_Row38",5.5,5.461538461538462,5.375,2,1,2,5,1,3,1,3,5.0
