Gemeindecode;Gemeindename;Einwohner;Veränderung in %;Bevölkerungs-dichte pro km²;Auslaenderanteil;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Rohe Heiratssziffer;Rohe Scheidungsziffer;Rohe Geburtenziffer;Rohe Sterbeziffer;Anzahl Privathaushalte;Durchschnittliche Haushaltsgrösse in Personen;Gesamtfläche in km²;Siedlungsfläche in %;Veränderung in ha;Landwirtschafts-fläche in %;Veränderung in ha;Wald und Gehölze in %;Unproduktive Fläche in %;Beschäftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstätten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Leerwohnungs-ziffer;Neu gebaute Wohnungen pro 1000 Einwohner;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Übrige Parteien;;gemäss Strafgesetzbuch (StGB) ;gemäss Betäubungsmittel-gesetz (BetmG);gemäss Ausländergesetz (AuG)
1062;Malters;6.923;3,9;242;11,5;22,8;63,0;14,2;4,6;1,0;10,6;6,4;2.667;2,6;28,6;11,0;73;62,9;-74;24,4;1,7;3.375;343;1.423;1.609;475;114;107;254;1,36;5,9;1,7;18,0;24,4;10,7;30,7;1,1;5,6;1,2;*;6,6;0,1;1,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1062 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,709253542)}]-(b);";32,8;1,4;0,1
1063;Meggen;6.775;2,4;932;13,8;18,4;57,5;24,0;3,5;2,4;7,1;6,8;2.969;2,2;7,3;34,3;50;43,6;-40;21,9;0,3;2.336;70;203;2.063;575;23;46;506;1,12;7,2;0,9;30,1;15,4;11,0;28,2;0,3;8,3;0,9;*;5,5;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1063 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(28,152257344)}]-(b);";28,5;0,7;0,3
1064;Meierskappel;1.351;8,9;199;13,6;25,2;60,4;14,4;5,1;2,2;7,3;3,7;513;2,6;6,8;10,2;14;63,0;-16;26,7;0,1;439;103;183;153;110;31;22;57;1,68;6,6;0,9;19,0;12,3;11,9;42,3;0,7;6,5;3,1;*;3,9;0,2;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1064 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(42,272062409)}]-(b);";26,2;0,0;0,0
1065;Root;4.736;4,0;548;24,9;23,7;64,5;11,8;8,7;1,9;13,0;4,7;1.878;2,5;8,6;20,1;61;48,5;-56;26,7;4,6;4.016;57;1.738;2.221;392;22;82;288;0,73;3,9;2,8;18,9;20,0;11,6;34,1;1,0;6,3;2,7;*;5,0;0,1;0,4;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1065 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,080759211)}]-(b);";63,0;3,9;0,0
1066;Schwarzenberg;1.686;3,6;43;6,4;23,1;61,6;15,3;4,2;0,0;8,9;5,3;661;2,5;39,2;3,0;33;36,4;-63;54,6;5,9;426;143;73;210;131;58;15;58;0,25;3,6;0,8;18,9;31,6;8,2;34,4;0,5;2,7;1,2;*;2,3;*;0,2;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1066 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,364951768)}]-(b);";26,2;0,0;0,0
1067;Udligenswil;2.262;3,2;364;9,6;23,4;60,8;15,7;4,1;2,7;10,4;3,6;880;2,6;6,3;10,4;19;65,0;-22;23,5;1,1;399;73;70;256;139;27;21;91;0,84;1,8;0,7;24,0;17,4;8,8;30,4;0,3;12,2;0,8;*;5,7;0,0;0,3;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1067 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,389749066)}]-(b);";26,2;1,4;0,0
1068;Vitznau;1.271;1,8;142;24,0;16,6;62,2;21,2;6,3;2,4;5,6;11,1;602;2,1;8,9;7,5;4;33,6;-3;54,3;4,6;534;60;38;436;117;23;12;82;2,34;18,4;0,6;29,5;13,1;10,1;30,7;0,7;8,3;0,9;*;5,5;0,2;1,0;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1068 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,749464668)}]-(b);";35,2;0,0;7,2
1069;Weggis;4.355;3,1;369;22,3;16,5;59,2;24,4;3,7;1,6;8,6;9,3;1.897;2,2;11,8;17,5;55;42,8;-51;38,1;1,6;2.108;120;467;1.521;389;35;58;296;1,51;8,7;1,3;25,7;18,0;9,5;30,5;0,8;6,5;2,1;*;6,1;0,2;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1069 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(30,499497151)}]-(b);";32,8;0,0;2,8
1081;Beromünster;6.234;6,4;148;11,9;25,3;59,2;15,5;2,8;1,0;12,8;7,9;2.365;2,6;42,2;9,1;113;68,9;-120;21,5;0,5;2.714;487;747;1.480;534;166;101;267;1,23;13,9;1,2;26,8;31,4;6,2;25,3;0,4;4,3;1,2;*;3,9;0,1;0,5;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1081 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(25,312243221)}]-(b);";24,9;1,0;0,0
1082;Büron;2.287;4,3;426;25,2;25,2;63,2;11,6;3,1;1,3;8,3;4,8;846;2,7;5,4;17,4;28;64,6;-30;16,3;1,7;1.026;61;694;271;146;21;37;88;1,81;2,2;2,1;26,7;18,9;8,7;34,7;0,5;4,4;0,8;*;4,5;0,0;0,7;"MATCH (a:Gemeinde), (b:Partei) WHERE a.BFSNr=1082 AND b.name='SVP' CREATE (a)<-[:hatWaehleranteil {AnteilProzent:toFloat(34,679408138)}]-(b);";32,0;1,3;0,0
