"row ID","Gemeinde","Schule","Geschlecht","Muttersprache","Heimatland","Alter","Französisch","Italienisch","Mathematik","1","2","3","4","5","6","7","Gesamtergebnis","M"
"L-409482-KSALP","Luzern","KSALP","F","D","CH",22.0,5.0,,5.0,,4.785714285714286,4.857142857142857,4.6923076923076925,4.785714285714286,4.708333333333333,,4.759036144578313,4.71875
"L-409484-KSALP","Luzern","KSALP","M","D","CH",22.0,4.0,,4.5,,4.892857142857143,4.6923076923076925,4.5,4.5,4.541666666666667,,4.603658536585366,4.5
"L-409485-KSALP","Luzern","KSALP","M","D","CH",22.0,5.0,,5.0,,4.75,4.8076923076923075,4.846153846153846,4.964285714285714,5.083333333333333,,4.945783132530121,5.176470588235294
"L-409487-KSALP","Horw","KSALP","M","D","CH",21.0,4.0,,4.5,,4.178571428571429,4.230769230769231,4.1923076923076925,4.142857142857143,4.375,,4.237804878048781,4.3125
"L-409489-KSALP","Luzern","KSALP","F","D","CH",22.0,4.0,,6.0,,5.107142857142857,4.785714285714286,4.730769230769231,4.642857142857143,4.541666666666667,,4.734939759036145,4.59375
"L-409490-KSALP","Ebikon","KSALP","F","D","CH",22.0,3.5,,4.5,,4.464285714285714,4.211538461538462,,,,,4.3,
"L-409492-KSALP","Luzern","KSALP","M","D","CH",21.0,4.0,,5.0,,4.892857142857143,4.461538461538462,4.730769230769231,4.857142857142857,5.0,,4.817073170731708,4.9375
"L-409493-KSALP","Luzern","KSALP","M","D","CH",22.0,4.5,,5.0,,5.0,4.846153846153846,4.961538461538462,4.678571428571429,4.833333333333333,,4.847560975609756,4.78125
"L-409495-KSALP","Luzern","KSALP","M","D","ROK",21.0,4.0,,5.0,,4.714285714285714,4.615384615384615,4.769230769230769,4.821428571428571,4.875,,4.786585365853658,4.90625
"L-409497-KSALP","Luzern","KSALP","M","D","CH",22.0,4.0,,4.0,,4.392857142857143,4.1923076923076925,4.038461538461538,4.392857142857143,4.333333333333333,,4.317073170731708,4.5
"L-409500-KSALP","Luzern","KSALP","M","D","CH",21.0,3.5,,5.5,,4.714285714285714,4.538461538461538,4.3076923076923075,4.571428571428571,4.5,,4.536585365853658,4.5625
"L-409503-KSALP","Luzern","KSALP","F","D","CH",21.0,4.25,,4.25,,4.071428571428571,4.211538461538462,4.1923076923076925,4.5,4.375,,4.2894736842105265,4.4375
"L-409505-KSALP","Luzern","KSALP","F","D","CH",21.0,4.0,,4.5,,4.535714285714286,4.464285714285714,4.461538461538462,4.714285714285714,4.666666666666667,,4.596385542168675,4.71875
"L-409509-KSALP","Luzern","KSALP","F","D","CH",22.0,4.5,,4.5,,4.714285714285714,4.571428571428571,4.846153846153846,5.0,5.083333333333333,,4.897590361445783,5.15625
"L-409510-KSALP","Kriens","KSALP","F","D","CH",22.0,4.5,,3.5,,4.714285714285714,4.535714285714286,4.615384615384615,4.892857142857143,5.041666666666667,,4.783132530120482,4.90625
"L-409512-KSALP","Kriens","KSALP","F","D","CH",21.0,4.0,,4.0,,4.428571428571429,4.142857142857143,4.423076923076923,4.678571428571429,4.75,,4.530120481927711,4.75
"L-409514-KSALP","Kriens","KSALP","F","SK","CH",21.0,4.0,,4.0,,4.5,4.423076923076923,4.461538461538462,4.607142857142857,4.541666666666667,,4.530487804878049,4.625
"L-409517-KSALP","Kriens","KSALP","F","D","CH",22.0,4.5,,3.5,,4.857142857142857,4.615384615384615,4.538461538461538,4.892857142857143,4.833333333333333,,4.798780487804878,5.0
"L-409518-KSALP","Kriens","KSALP","M","D","CH",22.0,4.0,,5.5,,4.714285714285714,4.653846153846154,4.538461538461538,4.464285714285714,4.541666666666667,,4.567073170731708,4.5
"L-409520-KSALP","Kriens","KSALP","M","D","CH",22.0,4.0,,5.0,,4.535714285714286,4.5,4.346153846153846,4.285714285714286,4.458333333333333,,4.432926829268292,4.46875
"L-409521-KSALP","Kriens","KSALP","F","D","CH",22.0,4.5,,4.0,,5.071428571428571,4.653846153846154,4.461538461538462,4.571428571428571,4.458333333333333,,4.644578313253012,4.617647058823529
"L-409523-KSALP","Kriens","KSALP","F","D","CH",21.0,5.0,,4.0,,4.428571428571429,4.538461538461538,4.461538461538462,4.392857142857143,4.5,,4.445121951219512,4.375
"L-409526-KSALP","Kriens","KSALP","F","D","CH",21.0,5.5,,5.0,,5.214285714285714,5.0,4.961538461538462,5.25,5.125,,5.134146341463414,5.21875
"L-409529-KSALP","Kriens","KSALP","M","D","CH",22.0,4.5,,4.5,,4.321428571428571,4.346153846153846,4.230769230769231,4.214285714285714,4.166666666666667,,4.244791666666667,4.125
"L-409532-KSALP","Kriens","KSALP","M","D","D",22.0,4.5,,4.5,,4.357142857142857,4.423076923076923,4.423076923076923,4.428571428571429,4.7272727272727275,,4.48936170212766,4.733333333333333
"L-409533-KSALP","Kriens","KSALP","F","D","CH",21.0,4.5,,4.0,,4.714285714285714,4.5,4.423076923076923,4.892857142857143,5.0,,4.753012048192771,4.96875
"L-409534-KSALP","Kriens","KSALP","F","SK","HR",22.0,3.5,,5.0,,4.857142857142857,4.576923076923077,4.346153846153846,4.571428571428571,4.333333333333333,,4.524096385542169,4.4411764705882355
"L-409537-KSALP","Kriens","KSALP","F","D","CH",21.0,5.5,,5.5,,5.107142857142857,5.178571428571429,5.038461538461538,4.964285714285714,5.125,,5.078313253012048,5.0625
"L-409538-KSALP","Kriens","KSALP","F","D","CH",22.0,5.0,,4.0,,4.821428571428571,4.821428571428571,5.153846153846154,5.178571428571429,5.291666666666667,,5.0843373493975905,5.25
"L-409547-KSALP","Wolhusen","KSALP","M","D","CH",23.0,4.0,,4.0,,4.464285714285714,4.678571428571429,4.6923076923076925,4.785714285714286,4.75,,4.716867469879518,4.90625
"L-409548-KSSUR","Dagmersellen","KSSUR","M","D","CH",16.0,4.0,,5.5,,,4.416666666666667,,,,,4.416666666666667,
"L-409549-KSALP","Kriens","KSALP","M","D","CH",21.0,4.5,,5.5,,4.892857142857143,4.884615384615385,4.6923076923076925,4.928571428571429,4.875,,4.837349397590361,4.764705882352941
"L-409550-KSSUR","Dagmersellen","KSSUR","F","D","CH",16.0,5.5,,5.5,,,5.166666666666667,,,,,5.166666666666667,
"L-409552-KSALP","Luzern","KSALP","M","D","CH",23.0,4.5,,4.0,,4.285714285714286,4.269230769230769,4.1923076923076925,4.428571428571429,4.541666666666667,,4.378048780487805,4.53125
"L-409552-KSSUR","Schötz","KSSUR","F","D","CH",16.0,5.0,,4.5,,,4.625,,,,,4.625,
"L-409555-KSALP","Kriens","KSALP","F","AND","CH",22.0,4.5,,5.0,,4.785714285714286,4.461538461538462,,,,,4.62962962962963,
"L-409557-KSALP","Kriens","KSALP","M","D","CH",22.0,4.0,,3.5,,4.285714285714286,4.1923076923076925,3.8076923076923075,,,,4.1,
"L-409558-KSALP","Kriens","KSALP","M","D","CH",21.0,4.0,,5.0,,4.214285714285714,4.357142857142857,4.1923076923076925,4.321428571428571,4.416666666666667,,4.319277108433735,4.40625
"L-409562-KSALP","Kriens","KSALP","M","D","CH",21.0,4.5,,4.5,,4.428571428571429,4.5,4.423076923076923,4.428571428571429,4.833333333333333,,4.567073170731708,4.78125
"L-409563-KSALP","Kriens","KSALP","F","D","CH",22.0,4.5,,4.0,,4.714285714285714,4.576923076923077,4.461538461538462,4.571428571428571,4.875,,4.664634146341464,4.78125
"L-409565-KSALP","Kriens","KSALP","M","D","CH",22.0,3.5,,4.0,,4.153846153846154,4.3076923076923075,4.615384615384615,4.464285714285714,4.583333333333333,,4.462962962962963,4.625
"L-409566-KSALP","Kriens","KSALP","M","D","CH",22.0,3.0,,4.5,,4.303571428571429,4.269230769230769,,,,,4.2926829268292686,
"L-409568-KSALP","Kriens","KSALP","M","D","CH",21.0,5.5,,4.0,,4.892857142857143,4.916666666666667,4.708333333333333,4.416666666666667,4.458333333333333,4.5625,4.629411764705883,4.433333333333334
"L-409569-KSALP","Kriens","KSALP","F","D","CH",22.0,4.0,,4.5,,5.0,4.538461538461538,4.423076923076923,4.392857142857143,4.5,,4.530120481927711,4.352941176470588
"L-409572-KSALP","Kriens","KSALP","F","D","CH",23.0,4.0,,3.5,,4.178571428571429,3.9615384615384617,,,,,4.074074074074074,
"L-409573-KSALP","Kriens","KSALP","F","D","CH",22.0,4.0,,4.0,,4.892857142857143,4.653846153846154,4.6923076923076925,4.642857142857143,4.625,,4.676829268292683,4.5625
"L-409577-KSALP","Kriens","KSALP","M","D","CH",22.0,4.5,,5.0,,4.535714285714286,4.538461538461538,4.1923076923076925,4.357142857142857,4.166666666666667,,4.359756097560975,4.34375
"L-409578-KSSUR","Wauwil","KSSUR","F","D","CH",17.0,5.0,,4.5,,,4.625,,,,,4.625,
"L-409579-KSALP","Kriens","KSALP","M","D","CH",21.0,4.5,,5.5,,4.857142857142857,4.6923076923076925,4.8076923076923075,4.892857142857143,4.875,,4.847560975609756,4.9375
"L-409580-KSSUR","Wauwil","KSSUR","F","D","CH",16.0,4.5,,4.5,,,4.416666666666667,,,,,4.416666666666667,
"L-409581-KSALP","Kriens","KSALP","M","D","CH",21.0,3.5,,4.5,,4.5,4.346153846153846,4.3076923076923075,4.214285714285714,4.333333333333333,,4.341463414634147,4.34375
"L-409582-KSALP","Kriens","KSALP","M","D","CH",22.0,3.0,,4.0,,4.25,4.269230769230769,4.423076923076923,4.464285714285714,4.541666666666667,,4.390243902439025,4.40625
"L-409584-KSALP","Kriens","KSALP","F","D","CH",21.0,4.0,,3.5,,4.535714285714286,4.571428571428571,4.538461538461538,4.535714285714286,4.625,,4.566265060240964,4.59375
"L-409586-KSALP","Kriens","KSALP","M","D","CH",22.0,5.0,,5.0,,4.928571428571429,5.115384615384615,5.038461538461538,5.035714285714286,5.041666666666667,,5.036585365853658,5.0625
"L-409588-KSALP","Kriens","KSALP","M","EN","CH",22.0,5.5,,6.0,,5.107142857142857,5.6923076923076925,5.6923076923076925,5.5,5.666666666666667,,5.548780487804878,5.65625
"L-409590-KSALP","Kriens","KSALP","M","D","CH",22.0,4.0,,4.5,,4.607142857142857,4.730769230769231,4.3076923076923075,4.25,4.208333333333333,,4.402439024390244,4.3125
"L-409593-KSSUR","Beromünster","KSSUR","F","D","CH",17.0,4.5,,5.0,,,5.0,,,,,5.0,
"L-409593-KSALP","Kriens","KSALP","F","D","CH",21.0,4.0,,5.0,,5.0,4.730769230769231,4.653846153846154,4.642857142857143,4.791666666666667,,4.780487804878049,4.84375
